laureate_id,Birth_Date,Birth_City,Birth_Country,Birth_Lat,Birth_Lon,Gender,Affiliation_Name,Award_City,Award_Country,Award_Lat,Award_Lon
1022,1953-10-25,"Chicago, IL",USA,41.876228,-87.638416,male,University of Chicago,"Chicago, IL",USA,39.828175,-98.5795
1023,1955-05-22,"Gainesville, FL",USA,29.651968,-82.324982,male,Washington University,"St. Louis, MO",USA,39.828175,-98.5795
1015,1966-10-10,"Boston, MA",USA,42.36042,-71.05681,female,Stanford University,"Stanford, CA",USA,39.828175,-98.5795
1016,1954-01-01,Copenhagen,Denmark,55.678127,12.572532,male,University of Copenhagen,Copenhagen,Denmark,56.0,10.0
743,1941-04-28,"Philadelphia, PA",USA,39.957132,-75.174342,male,The Scripps Research Institute,"La Jolla, CA",USA,39.828175,-98.5795
997,1955-11-04,"New York, NY",USA,40.715758,-74.0113,male,University of California,"San Francisco, CA",USA,39.828175,-98.5795
998,1967-01-01,Beirut,Lebanon,33.886944,35.513056,male,Scripps Research,"La Jolla, CA",USA,39.828175,-98.5795
999,1931-09-21,"Shingu, Ehime",Japan,,,male,Princeton University,"Princeton, NJ",USA,39.828175,-98.5795
1000,1931-10-25,Hamburg,Germany,53.548276,9.987422,male,Max Planck Institute for Meteorology,Hamburg,Germany,51.0,10.0
1001,1948-08-04,Rome,Italy,41.902288,12.506464,male,Sapienza University of Rome,Rome,Italy,42.5,12.5
1005,1963-10-02,Manila,Philippines,14.594892,120.978264,female,,,,,
1006,1961-01-01,Kubyshev,USSR,53.202778,50.140833,male,,,,,
1004,1948-01-01,,,,,male,,,,,
1007,1956-01-01,Guelph,Canada,43.546051,-80.249329,male,University of California,"Berkeley, CA",USA,39.828175,-98.5795
1008,1960-09-18,"Columbus, OH",USA,39.962222,-83.000556,male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,39.828175,-98.5795
1009,1963-09-03,Geldrop,the Netherlands,,,male,Stanford University,"Stanford, CA",USA,39.828175,-98.5795
1002,1968-01-11,Frankfurt-on-the-Main,Germany,50.107886,8.691488,male,Max-Planck-Institut für Kohlenforschung,Mülheim an der Ruhr,Germany,51.0,10.0
1003,1968-03-16,Bellshill,United Kingdom,55.820556,-4.028333,male,Princeton University,"Princeton, NJ",USA,39.828175,-98.5795
985,1935-09-12,"New York, NY",USA,40.715758,-74.0113,male,National Institutes of Health,"Bethesda, MD",USA,39.828175,-98.5795
986,1949-01-01,,United Kingdom,,,male,University of Alberta,Edmonton,Canada,60.0,-110.0
987,1952-08-25,"Sacramento, CA",USA,38.58102,-121.493935,male,Rockefeller University,"New York, NY",USA,39.828175,-98.5795
988,1931-08-08,Colchester,United Kingdom,51.888611,0.903611,male,University of Oxford,Oxford,United Kingdom,54.6,-2.0
989,1952-03-24,Bad Homburg vor der Höhe,Germany,50.228031,8.618313,male,Max Planck Institute for Extraterrestrial Physics,Garching,Germany,51.0,10.0
990,1965-06-16,"New York, NY",USA,40.715758,-74.0113,female,University of California,"Los Angeles, CA",USA,39.828175,-98.5795
993,1943-04-22,"New York, NY",USA,40.715758,-74.0113,female,,,,,
995,1948-04-20,"Detroit, MI",USA,42.331667,-83.0475,male,Stanford University,"Stanford, CA",USA,39.828175,-98.5795
996,1937-05-16,"Geneva, NE",USA,40.526389,-97.601944,male,Stanford University,"Stanford, CA",USA,39.828175,-98.5795
991,1968-12-11,Juvisy-sur-Orge,France,48.688333,2.3775,female,Max Planck Unit for the Science of Pathogens,Berlin,Germany,51.0,10.0
992,1964-02-19,"Washington, D.C.",USA,38.899065,-77.036523,female,University of California,"Berkeley, CA",USA,39.828175,-98.5795
970,1957-11-23,"New York, NY",USA,40.715758,-74.0113,male,Harvard Medical School,"Boston, MA",USA,39.828175,-98.5795
971,1954-05-14,Lancashire,United Kingdom,53.802814,-2.628226,male,University of Oxford,Oxford,United Kingdom,54.6,-2.0
972,1956-07-12,"New York, NY",USA,40.715758,-74.0113,male,Johns Hopkins University,"Baltimore, MD",USA,39.828175,-98.5795
973,1935-04-25,Winnipeg,Canada,49.895538,-97.138458,male,Princeton University,"Princeton, NJ",USA,39.828175,-98.5795
974,1942-01-12,Lausanne,Switzerland,46.533333,6.633333,male,University of Geneva,Geneva,Switzerland,46.798562,8.231973
975,1966-02-23,Geneva,Switzerland,46.203397,6.145957,male,University of Geneva,Geneva,Switzerland,46.798562,8.231973
981,1976-08-15,Beshasha,Ethiopia,7.795864,36.477062,male,,,,,
980,1942-12-06,Griffen,Austria,46.704444,14.732778,male,,,,,
982,1961-02-21,Mumbai,India,19.075833,72.8775,male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,39.828175,-98.5795
983,1972-10-25,Paris,France,48.860093,2.355954,female,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,39.828175,-98.5795
984,1964-11-12,"New York, NY",USA,40.715758,-74.0113,male,Harvard University,"Cambridge, MA",USA,39.828175,-98.5795
976,1922-07-25,Jena,Germany,50.927222,11.586389,male,University of Texas,"Austin, TX",USA,39.828175,-98.5795
977,1941-12-22,,United Kingdom,,,male,"Binghamton University, State University of New York","New York, NY",USA,39.828175,-98.5795
978,1948-01-30,Suita,Japan,34.764885,135.517349,male,Asahi Kasei Corporation,Tokyo,Japan,35.0,136.0
958,1948-08-07,"Alice, TX",USA,27.750611,-98.070306,male,Parker Institute for Cancer Immunotherapy,"San Francisco, CA",USA,39.828175,-98.5795
959,1942-01-27,Kyoto,Japan,35.017709,135.761432,male,Kyoto University,Kyoto,Japan,35.0,136.0
960,1922-09-02,"New York, NY",USA,40.715758,-74.0113,male,Bell Laboratories,"Holmdel, NJ",USA,39.828175,-98.5795
961,1944-06-22,Albertville,France,45.675833,6.3925,male,École Polytechnique,Palaiseau,France,47.0,2.0
962,1959-05-27,Guelph,Canada,43.546051,-80.249329,female,University of Waterloo,Waterloo,Canada,60.0,-110.0
966,1955-03-01,Bukavu,Belgian Congo,-2.5,28.866667,male,,,,,
967,1993-01-01,Kojo,Iraq,36.179036,41.911312,female,,,,,
979,1962-01-29,Sulechów,Poland,52.092648,15.618116,female,,,,,
968,1941-05-31,"Albuquerque, NM",USA,35.084491,-106.651137,male,Yale University,"New Haven, CT",USA,39.828175,-98.5795
969,1955-01-01,"Denver, CO",USA,39.739235,-104.984863,male,NYU Stern School of Business,"New York, NY",USA,39.828175,-98.5795
963,1956-07-25,"Pittsburgh, PA",USA,40.440136,-80.008661,female,California Institute of Technology (Caltech),"Pasadena, CA",USA,39.828175,-98.5795
964,1941-03-10,"Norwalk, CT",USA,41.117596,-73.407898,male,University of Missouri,Columbia,USA,39.828175,-98.5795
965,1951-04-14,Leicester,United Kingdom,52.636139,-1.133079,male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,54.6,-2.0
938,1945-05-03,"New York, NY",USA,40.715758,-74.0113,male,University of Maine,"Maine, ME",USA,39.828175,-98.5795
939,1944-03-07,"Kansas City, MO",USA,39.100105,-94.57814,male,Brandeis University,"Waltham, MA",USA,39.828175,-98.5795
940,1949-03-28,"Miami, FL",USA,25.64809,-80.426262,male,Rockefeller University,"New York, NY",USA,39.828175,-98.5795
941,1932-09-29,Berlin,Germany,52.522265,13.406852,male,LIGO/VIRGO Collaboration,,,,
942,1936-01-27,"Omaha, NE",USA,41.258611,-95.9375,male,LIGO/VIRGO Collaboration,,,,
943,1940-06-01,"Logan, UT",USA,41.731346,-111.834862,male,LIGO/VIRGO Collaboration,,,,
947,1954-11-08,Nagasaki,Japan,32.75016,129.878098,male,,,,,
949,1945-09-12,"East Orange, NJ",USA,40.767323,-74.204865,male,University of Chicago,"Chicago, IL",USA,39.828175,-98.5795
944,1942-06-08,Aigle,Switzerland,46.317432,6.969595,male,University of Lausanne,Lausanne,Switzerland,46.798562,8.231973
945,1940-09-12,Siegen,Germany,50.873741,8.020064,male,Columbia University,"New York, NY",USA,39.828175,-98.5795
946,1945-07-19,Edinburgh,Scotland,55.955709,-3.207405,male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,54.6,-2.0
927,1945-02-09,Fukuoka,Japan,33.590355,130.401716,male,Tokyo Institute of Technology,Tokyo,Japan,35.0,136.0
928,1934-09-21,Bearsden,United Kingdom,55.919238,-4.333202,male,University of Washington,"Seattle, WA",USA,39.828175,-98.5795
929,1951-09-14,London,United Kingdom,51.510235,-0.120852,male,Princeton University,"Princeton, NJ",USA,39.828175,-98.5795
930,1943-06-22,Aberdeen,United Kingdom,57.148243,-2.092809,male,Brown University,"Providence, RI",USA,39.828175,-98.5795
934,1951-08-10,Bogotá,Colombia,4.653465,-74.083649,male,,,,,
937,1941-05-24,"Duluth, MN",USA,46.77293,-92.125122,male,,,,,
935,1948-10-09,London,United Kingdom,51.510235,-0.120852,male,Harvard University,"Cambridge, MA",USA,39.828175,-98.5795
936,1949-04-18,Helsinki,Finland,60.167874,24.958234,male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,39.828175,-98.5795
931,1944-10-21,Paris,France,48.860093,2.355954,male,University of Strasbourg,Strasbourg,France,47.0,2.0
932,1942-05-24,Edinburgh,United Kingdom,55.955709,-3.207405,male,Northwestern University,"Evanston, IL",USA,39.828175,-98.5795
933,1951-05-18,Barger-Compascuum,the Netherlands,52.754791,7.042117,male,University of Groningen,Groningen,the Netherlands,52.316667,5.55
916,1930-06-28,Ramelton,Ireland,55.035556,-7.645556,male,Drew University,"Madison, NJ",USA,39.828175,-98.5795
917,1935-07-12,Yamanashi Prefecture,Japan,35.664139,138.568417,male,Kitasato University,Tokyo,Japan,35.0,136.0
918,1930-12-30,Zhejiang Ningbo,China,29.868336,121.54399,female,China Academy of Traditional Chinese Medicine,Beijing,China,35.844722,103.451944
919,1959-03-09,Higashimatsuyama,Japan,36.042152,139.399796,male,University of Tokyo,Kashiwa,Japan,35.0,136.0
920,1943-08-29,"Sydney, Nova Scotia",Canada,46.138927,-60.193233,male,Queen's University,Kingston,Canada,60.0,-110.0
924,1948-05-31,Ivano-Frankivsk,Ukraine,48.922523,24.71032,female,,,,,
926,1945-10-19,Edinburgh,Scotland,55.955709,-3.207405,male,Princeton University,"Princeton, NJ",USA,39.828175,-98.5795
921,1938-01-28,Stockholm,Sweden,59.325371,18.070794,male,Francis Crick Institute,Hertfordshire,United Kingdom,54.6,-2.0
922,1946-06-13,"Raton, NM",USA,36.903374,-104.439362,male,Howard Hughes Medical Institute,"Durham, NC",USA,39.828175,-98.5795
923,1946-09-08,Savur,Turkey,37.5375,40.889167,male,University of North Carolina,"Chapel Hill, NC",USA,39.828175,-98.5795
903,1939-11-18,"New York, NY",USA,40.715758,-74.0113,male,University College,London,United Kingdom,54.6,-2.0
904,1963-01-04,Fosnavåg,Norway,62.341667,5.633889,female,Norwegian University of Science and Technology (NTNU),Trondheim,Norway,65.0,11.0
905,1962-04-27,Ålesund,Norway,62.471239,6.154239,male,Norwegian University of Science and Technology (NTNU),Trondheim,Norway,65.0,11.0
906,1929-01-30,Chiran,Japan,31.37825,130.441611,male,Meijo University,Nagoya,Japan,35.0,136.0
907,1960-09-11,Hamamatsu,Japan,34.710979,137.725937,male,Nagoya University,Nagoya,Japan,35.0,136.0
908,1954-05-22,Ikata,Japan,33.488611,132.354111,male,University of California,"Santa Barbara, CA",USA,39.828175,-98.5795
913,1954-01-11,Vidisha,India,23.520813,77.80632,male,,,,,
914,1997-07-12,Mingora,Pakistan,34.771667,72.36,female,,,,,
912,1945-07-30,Paris,France,48.860093,2.355954,male,,,,,
915,1953-08-09,Troyes,France,48.297161,4.074626,male,Toulouse School of Economics (TSE),Toulouse,France,47.0,2.0
909,1960-01-13,"Ann Arbor, MI",USA,42.281061,-83.745758,male,"Janelia Research Campus, Howard Hughes Medical Institute","Ashburn, VA",USA,39.828175,-98.5795
910,1962-12-23,Arad,Romania,46.166667,21.316667,male,Max Planck Institute for Biophysical Chemistry,Göttingen,Germany,51.0,10.0
911,1953-06-24,"Pleasanton, CA",USA,37.662431,-121.874679,male,Stanford University,"Stanford, CA",USA,39.828175,-98.5795
884,1950-11-03,"Haverhill, MA",USA,42.783333,-71.083333,male,Yale University,"New Haven, CT",USA,39.828175,-98.5795
885,1948-12-30,"St. Paul, MN",USA,44.944167,-93.093611,male,University of California,"Berkeley, CA",USA,39.828175,-98.5795
886,1955-12-22,Göttingen,Germany,51.539385,9.913113,male,Stanford University,"Stanford, CA",USA,39.828175,-98.5795
887,1932-11-06,Etterbeek,Belgium,50.836143,4.386174,male,Université Libre de Bruxelles,Brussels,Belgium,50.641111,4.668056
888,1929-05-29,Newcastle upon Tyne,United Kingdom,54.973846,-1.613157,male,University of Edinburgh,Edinburgh,United Kingdom,54.6,-2.0
892,1931-07-10,Wingham,Canada,43.8875,-81.310278,female,,,,,
894,1939-02-14,"Boston, MA",USA,42.36042,-71.05681,male,University of Chicago,"Chicago, IL",USA,39.828175,-98.5795
895,1952-10-26,"Urbana, IL",USA,40.110863,-88.206265,male,University of Chicago,"Chicago, IL",USA,39.828175,-98.5795
896,1946-03-29,"Detroit, MI",USA,42.331667,-83.0475,male,Yale University,"New Haven, CT",USA,39.828175,-98.5795
889,1930-03-15,Vienna,Austria,48.207646,16.372793,male,Université de Strasbourg,Strasbourg,France,47.0,2.0
890,1947-05-09,Pretoria,South Africa,-25.746389,28.188056,male,Stanford University School of Medicine,"Stanford, CA",USA,39.828175,-98.5795
891,1940-11-20,Kibbutz Sde-Nahum,British Mandate of Palestine,32.529995,35.479515,male,University of Southern California,"Los Angeles, CA",USA,39.828175,-98.5795
874,1933-10-02,Dippenhall,United Kingdom,51.212059,-0.835956,male,Gurdon Institute,Cambridge,United Kingdom,54.6,-2.0
875,1962-09-04,Osaka,Japan,34.693756,135.50145,male,Kyoto University,Kyoto,Japan,35.0,136.0
876,1944-09-11,Casablanca,Morocco,33.599167,-7.62,male,Collège de France,Paris,France,47.0,2.0
877,1944-02-24,"Milwaukee, WI",USA,43.05,-87.95,male,National Institute of Standards and Technology,"Boulder, CO",USA,39.828175,-98.5795
880,1956-03-25,Gaomi,China,36.365406,119.800537,male,,,,,
882,1951-12-18,"New York, NY",USA,40.715758,-74.0113,male,Harvard University,"Cambridge, MA",USA,39.828175,-98.5795
883,1923-06-02,"Cambridge, MA",USA,42.374024,-71.107306,male,University of California,"Los Angeles, CA",USA,39.828175,-98.5795
878,1943-04-15,"New York, NY",USA,40.715758,-74.0113,male,Howard Hughes Medical Institute,,USA,39.828175,-98.5795
879,1955-05-30,"Little Falls, MN",USA,45.976357,-94.362503,male,Stanford University School of Medicine,"Stanford, CA",USA,39.828175,-98.5795
861,1957-12-29,"Chicago, IL",USA,41.876228,-87.638416,male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA,39.828175,-98.5795
862,1941-08-02,Echternach,Luxembourg,49.812096,6.421486,male,University of Strasbourg,Strasbourg,France,47.0,2.0
863,1943-01-14,Montreal,Canada,45.502786,-73.569058,male,Rockefeller University,"New York, NY",USA,39.828175,-98.5795
864,1959-01-01,"Champaign-Urbana, IL",USA,40.109383,-88.227287,male,Lawrence Berkeley National Laboratory,"Berkeley, CA",USA,39.828175,-98.5795
865,1967-02-24,"Missoula, MT",USA,46.870106,-113.99527,male,Australian National University,Weston Creek,Australia,-28.0,137.0
866,1969-12-16,"Washington, D.C.",USA,38.899065,-77.036523,male,Johns Hopkins University,"Baltimore, MD",USA,39.828175,-98.5795
869,1938-10-29,Monrovia,Liberia,6.297724,-10.779029,female,,,,,
870,1972-02-01,Monrovia,Liberia,6.297724,-10.779029,female,,,,,
871,1979-02-07,Ta'izz,Yemen,,,female,,,,,
868,1931-04-15,Stockholm,Sweden,59.325371,18.070794,male,,,,,
872,1943-07-19,"Pasadena, CA",USA,34.150071,-118.142111,male,New York University,"New York, NY",USA,39.828175,-98.5795
873,1942-10-21,"Washington, D.C.",USA,38.899065,-77.036523,male,Princeton University,"Princeton, NJ",USA,39.828175,-98.5795
867,1941-01-24,Tel Aviv,British Mandate of Palestine,32.085996,34.781915,male,Technion - Israel Institute of Technology,Haifa,Israel,31.0,35.0
848,1925-09-27,Batley,United Kingdom,53.716667,-1.635556,male,University of Cambridge,Cambridge,United Kingdom,54.6,-2.0
849,1958-10-21,Sochi,Russia,43.585484,39.72311,male,University of Manchester,Manchester,United Kingdom,54.6,-2.0
850,1974-08-23,Nizhny Tagil,Russia,57.905148,59.950848,male,University of Manchester,Manchester,United Kingdom,54.6,-2.0
855,1955-12-28,Changchun,China,43.9,125.2,male,,,,,
854,1936-03-28,Arequipa,Peru,-16.398867,-71.536964,male,,,,,
856,1940-04-29,"New York, NY",USA,40.715758,-74.0113,male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,39.828175,-98.5795
857,1939-02-02,"Enterprise, OR",USA,45.424167,-117.276944,male,Northwestern University,"Evanston, IL",USA,39.828175,-98.5795
858,1948-02-20,Nicosia,Cyprus,35.175808,33.368561,male,London School of Economics and Political Science,London,United Kingdom,54.6,-2.0
851,1931-08-15,"Springfield, MA",USA,42.101972,-72.585947,male,University of Delaware,,USA,39.828175,-98.5795
852,1935-07-14,Changchun,China,43.9,125.2,male,Purdue University,"West Lafayette, IN",USA,39.828175,-98.5795
853,1930-09-12,Mukawa,Japan,42.57475,141.92675,male,Hokkaido University,Sapporo,Japan,35.0,136.0
835,1948-11-26,"Hobart, Tasmania",Australia,-42.882746,147.326068,female,University of California,"San Francisco, CA",USA,39.828175,-98.5795
836,1961-04-15,"San Diego, CA",USA,32.7305,-117.166696,female,Johns Hopkins University School of Medicine,"Baltimore, MD",USA,39.828175,-98.5795
837,1952-11-09,London,United Kingdom,51.510235,-0.120852,male,Harvard Medical School,"Boston, MA",USA,39.828175,-98.5795
838,1933-11-04,Shanghai,China,31.23441,121.490343,male,Standard Telecommunication Laboratories,Harlow,United Kingdom,54.6,-2.0
839,1924-08-19,"Amherst, NS",Canada,45.830032,-64.205261,male,Bell Laboratories,"Murray Hill, NJ",USA,39.828175,-98.5795
840,1930-05-10,"White Plains, NY",USA,41.033985,-73.762909,male,Bell Laboratories,"Murray Hill, NJ",USA,39.828175,-98.5795
845,1961-08-04,"Honolulu, HI",USA,21.304546,-157.855682,male,,,,,
844,1953-08-17,"Nitzkydorf, Banat",Romania,45.578641,21.536293,female,,,,,
846,1933-08-07,"Los Angeles, CA",USA,34.062144,-118.225001,female,Indiana University,"Bloomington, IN",USA,39.828175,-98.5795
847,1932-09-27,"Superior, WI",USA,46.720776,-92.10408,male,University of California,"Berkeley, CA",USA,39.828175,-98.5795
841,1952-01-01,"Chidambaram, Tamil Nadu",India,11.398194,79.695359,male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,54.6,-2.0
842,1940-08-23,"Milwaukee, WI",USA,43.05,-87.95,male,Yale University,"New Haven, CT",USA,39.828175,-98.5795
843,1939-06-22,Jerusalem,British Mandate of Palestine,31.767983,35.213809,female,Weizmann Institute of Science,Rehovot,Israel,31.0,35.0
823,1936-03-11,Gelsenkirchen,Germany,51.516667,7.1,male,German Cancer Research Center,Heidelberg,Germany,51.0,10.0
824,1947-07-30,Paris,France,48.860093,2.355954,female,"Regulation of Retroviral Infections Unit, Virology Department, Institut Pasteur",Paris,France,47.0,2.0
825,1932-08-18,Chabris,France,47.255,1.653333,male,World Foundation for AIDS Research and Prevention,Paris,France,47.0,2.0
826,1921-01-18,Tokyo,Japan,35.680183,139.769373,male,"Enrico Fermi Institute, University of Chicago","Chicago, IL",USA,39.828175,-98.5795
827,1944-04-07,Nagoya,Japan,35.180679,136.918749,male,High Energy Accelerator Research Organization (KEK),Tsukuba,Japan,35.0,136.0
828,1940-02-07,Nagoya,Japan,35.180679,136.918749,male,Kyoto Sangyo University,Kyoto,Japan,35.0,136.0
833,1937-06-23,Viipuri,Finland,60.709217,28.744051,male,,,,,
832,1940-04-13,Nice,France,43.709618,7.26105,male,,,,,
834,1953-02-28,"New York, NY",USA,40.715758,-74.0113,male,Princeton University,"Princeton, NJ",USA,39.828175,-98.5795
829,1928-08-27,Kyoto,Japan,35.017709,135.761432,male,Marine Biological Laboratory (MBL),"Woods Hole, MA",USA,39.828175,-98.5795
830,1947-01-15,"Chicago, IL",USA,41.876228,-87.638416,male,Columbia University,"New York, NY",USA,39.828175,-98.5795
831,1952-02-01,"New York, NY",USA,40.715758,-74.0113,male,University of California,"San Diego, CA",USA,39.828175,-98.5795
811,1937-10-06,Verona,Italy,45.438496,10.992412,male,University of Utah,"Salt Lake City, UT",USA,39.828175,-98.5795
812,1941-01-01,Stroud,United Kingdom,51.745422,-2.219861,male,Cardiff University,Cardiff,United Kingdom,54.6,-2.0
813,1925-06-23,Halifax,United Kingdom,53.725,-1.863,male,University of North Carolina,"Chapel Hill, NC",USA,39.828175,-98.5795
814,1938-03-07,Carcassonne,France,43.215833,2.351389,male,Universit&eacute; Paris-Sud,Orsay,France,47.0,2.0
815,1939-05-18,Plzen,Czechoslovakia,49.741389,13.3825,male,Forschungszentrum J&uuml;lich,Jülich,Germany,51.0,10.0
819,1948-03-31,"Washington, D.C.",USA,38.899065,-77.036523,male,,,,,
817,1919-10-22,Kermanshah,Persia,34.331005,47.077675,female,,,,,
820,1917-08-21,Moscow,Russia,55.741387,37.618892,male,University of Minnesota,"Minneapolis, MN",USA,39.828175,-98.5795
821,1950-12-12,"New York, NY",USA,40.715758,-74.0113,male,Institute for Advanced Study,"Princeton, NJ",USA,39.828175,-98.5795
822,1951-03-29,"Boston, MA",USA,42.36042,-71.05681,male,University of Chicago,"Chicago, IL",USA,39.828175,-98.5795
816,1936-10-10,Bad Cannstatt,Germany,48.827297,9.217003,male,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,51.0,10.0
802,1959-04-27,"Stanford, CA",USA,37.424734,-122.163858,male,Stanford University School of Medicine,"Stanford, CA",USA,39.828175,-98.5795
803,1960-10-18,"New Haven, CT",USA,41.307802,-72.932531,male,University of Massachusetts Medical School,"Worcester, MA",USA,39.828175,-98.5795
804,1946-08-07,"Roanoke, VA",USA,37.270973,-79.941429,male,NASA Goddard Space Flight Center,"Greenbelt, MD",USA,39.828175,-98.5795
805,1945-02-20,"Yukon, FL",USA,30.234684,-81.698151,male,University of California,"Berkeley, CA",USA,39.828175,-98.5795
809,1940-06-28,Chittagong,British India,22.336472,91.82605,male,,,,,
808,1952-06-07,Istanbul,Turkey,41.009197,28.966219,male,,,,,
807,1933-07-26,"Evanston, IL",USA,42.045791,-87.686963,male,Columbia University,"New York, NY",USA,39.828175,-98.5795
806,1947-04-24,"St. Louis, MO",USA,38.628133,-90.212222,male,Stanford University,"Stanford, CA",USA,39.828175,-98.5795
789,1951-09-30,Kalgoorlie,Australia,-30.787453,121.459778,male,"NHMRC Helicobacter pylori Research Laboratory, QEII Medical Centre",Nedlands,Australia,-28.0,137.0
790,1937-06-11,Adelaide,Australia,-34.92694,138.598792,male,,,,,
791,1925-09-01,"New York, NY",USA,40.715758,-74.0113,male,Harvard University,"Cambridge, MA",USA,39.828175,-98.5795
792,1934-08-21,"Denver, CO",USA,39.739235,-104.984863,male,"University of Colorado, JILA","Boulder, CO",USA,39.828175,-98.5795
793,1941-10-30,Heidelberg,Germany,49.39922,8.680522,male,Max Planck Institute of Quantum Optics,Garching,Germany,51.0,10.0
798,1942-06-17,Cairo,Egypt,30.044388,31.235725,male,,,,,
801,1930-10-10,London,United Kingdom,51.510235,-0.120852,male,,,,,
799,1930-06-08,Frankfurt-on-the-Main,Germany,50.107886,8.691488,male,"University of Jerusalem, Center for RationalityHebrew",Jerusalem,Israel,31.0,35.0
800,1921-04-14,"Oakland, CA",USA,37.8,-122.25,male,"University of Maryland, Department of Economics and School of Public Policy","College Park, MD",USA,39.828175,-98.5795
794,1930-10-10,Menin,Belgium,50.795556,3.121667,male,Institut Français du Pétrole,Rueil-Malmaison,France,47.0,2.0
795,1942-02-27,"Possum Trot, KY",USA,,,male,California Institute of Technology (Caltech),"Pasadena, CA",USA,39.828175,-98.5795
796,1945-01-04,"Berne, IN",USA,40.657825,-84.951912,male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,39.828175,-98.5795
774,1946-07-02,"New York, NY",USA,40.715758,-74.0113,male,Columbia University,"New York, NY",USA,39.828175,-98.5795
775,1947-01-29,"Seattle, WA",USA,47.611072,-122.355118,female,Fred Hutchinson Cancer Research Center,"Seattle, WA",USA,39.828175,-98.5795
776,1941-02-19,"Washington, D.C.",USA,38.899065,-77.036523,male,"University of California, Kavli Institute for Theoretical Physics","Santa Barbara, CA",USA,39.828175,-98.5795
777,1949-08-31,"New York, NY",USA,40.715758,-74.0113,male,California Institute of Technology (Caltech),"Pasadena, CA",USA,39.828175,-98.5795
778,1951-05-15,"New York, NY",USA,40.715758,-74.0113,male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,39.828175,-98.5795
783,1940-04-01,Nyeri,Kenya,-0.416876,36.950981,female,,,,,
782,1946-10-20,Mürzzuschlag,Austria,47.605354,15.67238,female,,,,,
786,1943-12-01,Gjesdal,Norway,58.781939,6.008611,male,Carnegie Mellon University,"Pittsburgh, PA",USA,39.828175,-98.5795
787,1940-12-26,"Glens Falls, NY",USA,43.312222,-73.648333,male,Arizona State University,"Tempe, AZ",USA,39.828175,-98.5795
779,1947-10-01,Haifa,British Protectorate of Palestine,32.794421,34.99034,male,Technion - Israel Institute of Technology,Haifa,Israel,31.0,35.0
780,1937-12-31,Karcag,Hungary,47.315474,20.918238,male,Technion - Israel Institute of Technology,Haifa,Israel,31.0,35.0
781,1926-07-16,"Brooklyn, NY",USA,40.676379,-73.949819,male,University of California,"Irvine, CA",USA,39.828175,-98.5795
