"Award_Year","Category","Date_Awarded","Prize_Amount","Prize_Amount_Adj","Prize_Link","Portion","Sort_Order","Motivation","Laureate_Full_Name","Laureate_Known_Name","Organization_Name","Laureate_Link","laureate_id","Birth_Date","Birth_City","Birth_Country","Birth_Lat","Birth_Lon","Gender","Affiliation_Name","Award_City","Award_Country","Award_Lat","Award_Lon","Age_When_Awarded","Org_Type","Sole_Winner","Org_Name","Org_Founded_Date","Founded_Country"
"2022","Physics","2022-10-04",10000000,10000000,"https://api.nobelprize.org/2/nobelPrize/phy/2022","'1/3'",1,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science","Alain Aspect","Alain Aspect","","https://api.nobelprize.org/2/laureate/1012","1012","1947-06-15","Agen","France",44.203056,0.618611,"male","Institut d’Optique Graduate School – Université Paris-Saclay","Paris","France",47.0,2.0,75.0,"Human",False,"","",""
"2022","Physics","2022-10-04",10000000,10000000,"https://api.nobelprize.org/2/nobelPrize/phy/2022","'1/3'",2,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science","John F. Clauser","John Clauser","","https://api.nobelprize.org/2/laureate/1013","1013","1942-12-01","Pasadena, CA","USA",34.150071,-118.142111,"male","J.F. Clauser & Assoc.","Walnut Creek, CA","USA",39.828175,-98.5795,79.0,"Human",False,"","",""
"2022","Physics","2022-10-04",10000000,10000000,"https://api.nobelprize.org/2/nobelPrize/phy/2022","'1/3'",3,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science","Anton Zeilinger","Anton Zeilinger","","https://api.nobelprize.org/2/laureate/1014","1014","1945-05-20","Ried im Innkreis","Austria",48.21,13.489444,"male","University of Vienna","Vienna","Austria",48.0,14.0,77.0,"Human",False,"","",""
"2022","Peace","2022-10-07",10000000,10000000,"https://api.nobelprize.org/2/nobelPrize/pea/2022","'1/3'",1,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.","Ales Bialiatski ","Ales Bialiatski","","https://api.nobelprize.org/2/laureate/1018","1018","1962-09-25","Vyartsilya, Karelia","Russia",62.176944,30.697222,"male","","","","","",60.0,"Human",False,"","",""
"2022","Peace","2022-10-07",10000000,10000000,"https://api.nobelprize.org/2/nobelPrize/pea/2022","'1/3'",2,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.","","","Memorial","https://api.nobelprize.org/2/laureate/1019","1019","","","","","","","","","","","","","Organization",False,"Memorial","1987-01-01","Russia"
"2022","Peace","2022-10-07",10000000,10000000,"https://api.nobelprize.org/2/nobelPrize/pea/2022","'1/3'",3,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.","","","Center for Civil Liberties","https://api.nobelprize.org/2/laureate/1020","1020","","","","","","","","","","","","","Organization",False,"Center for Civil Liberties","2007-01-01","Ukraine"
"2022","Literature","2022-10-06",10000000,10000000,"https://api.nobelprize.org/2/nobelPrize/lit/2022","'1'",1,"for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory","Annie Ernaux","Annie Ernaux","","https://api.nobelprize.org/2/laureate/1017","1017","1940-09-01","Lillebonne","France",49.520833,0.5375,"female","","","","","",82.0,"Human",True,"","",""
"2022","Economic Sciences","2011-10-10",10000000,10000000,"https://api.nobelprize.org/2/nobelPrize/eco/2022","'1/3'",1,"for research on banks and financial crises","Ben S. Bernanke","Ben Bernanke","","https://api.nobelprize.org/2/laureate/1021","1021","1953-12-13","Augusta, GA","USA",33.47,-81.975,"male","The Brookings Institution","Washington, D.C.","USA",39.828175,-98.5795,57.0,"Human",False,"","",""
"2022","Economic Sciences","2011-10-10",10000000,10000000,"https://api.nobelprize.org/2/nobelPrize/eco/2022","'1/3'",2,"for research on banks and financial crises","Douglas W. Diamond","Douglas Diamond","","https://api.nobelprize.org/2/laureate/1022","1022","1953-10-25","Chicago, IL","USA",41.876228,-87.638416,"male","University of Chicago","Chicago, IL","USA",39.828175,-98.5795,57.0,"Human",False,"","",""
"2022","Economic Sciences","2011-10-10",10000000,10000000,"https://api.nobelprize.org/2/nobelPrize/eco/2022","'1/3'",3,"for research on banks and financial crises","Philip H. Dybvig","Philip Dybvig","","https://api.nobelprize.org/2/laureate/1023","1023","1955-05-22","Gainesville, FL","USA",29.651968,-82.324982,"male","Washington University","St. Louis, MO","USA",39.828175,-98.5795,56.0,"Human",False,"","",""
"2022","Chemistry","2022-10-05",10000000,10000000,"https://api.nobelprize.org/2/nobelPrize/che/2022","'1/3'",1,"for the development of click chemistry and bioorthogonal chemistry","Carolyn R. Bertozzi","Carolyn Bertozzi","","https://api.nobelprize.org/2/laureate/1015","1015","1966-10-10","Boston, MA","USA",42.36042,-71.05681,"female","Stanford University","Stanford, CA","USA",39.828175,-98.5795,56.0,"Human",False,"","",""
"2022","Chemistry","2022-10-05",10000000,10000000,"https://api.nobelprize.org/2/nobelPrize/che/2022","'1/3'",2,"for the development of click chemistry and bioorthogonal chemistry","Morten Meldal","Morten Meldal","","https://api.nobelprize.org/2/laureate/1016","1016","1954-01-01","Copenhagen","Denmark",55.678127,12.572532,"male","University of Copenhagen","Copenhagen","Denmark",56.0,10.0,68.0,"Human",False,"","",""
"2022","Chemistry","2022-10-05",10000000,10000000,"https://api.nobelprize.org/2/nobelPrize/che/2022","'1/3'",3,"for the development of click chemistry and bioorthogonal chemistry","K. Barry Sharpless","K. Barry Sharpless","","https://api.nobelprize.org/2/laureate/743","743","1941-04-28","Philadelphia, PA","USA",39.957132,-75.174342,"male","The Scripps Research Institute","La Jolla, CA","USA",39.828175,-98.5795,81.0,"Human",False,"","",""
"2021","Physiology or Medicine","2021-10-04",10000000,10836735,"https://api.nobelprize.org/2/nobelPrize/med/2021","'1/2'",1,"for their discoveries of receptors for temperature and touch","David Julius","David Julius","","https://api.nobelprize.org/2/laureate/997","997","1955-11-04","New York, NY","USA",40.715758,-74.0113,"male","University of California","San Francisco, CA","USA",39.828175,-98.5795,65.0,"Human",False,"","",""
"2021","Physiology or Medicine","2021-10-04",10000000,10836735,"https://api.nobelprize.org/2/nobelPrize/med/2021","'1/2'",2,"for their discoveries of receptors for temperature and touch","Ardem Patapoutian","Ardem Patapoutian","","https://api.nobelprize.org/2/laureate/998","998","1967-01-01","Beirut","Lebanon",33.886944,35.513056,"male","Scripps Research","La Jolla, CA","USA",39.828175,-98.5795,54.0,"Human",False,"","",""
"2021","Physics","2021-10-05",10000000,10836735,"https://api.nobelprize.org/2/nobelPrize/phy/2021","'1/4'",1,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming","Syukuro Manabe","Syukuro Manabe","","https://api.nobelprize.org/2/laureate/999","999","1931-09-21","Shingu, Ehime","Japan","","","male","Princeton University","Princeton, NJ","USA",39.828175,-98.5795,90.0,"Human",False,"","",""
"2021","Physics","2021-10-05",10000000,10836735,"https://api.nobelprize.org/2/nobelPrize/phy/2021","'1/4'",2,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming","Klaus Hasselmann","Klaus Hasselmann","","https://api.nobelprize.org/2/laureate/1000","1000","1931-10-25","Hamburg","Germany",53.548276,9.987422,"male","Max Planck Institute for Meteorology","Hamburg","Germany",51.0,10.0,90.0,"Human",False,"","",""
"2021","Physics","2021-10-05",10000000,10836735,"https://api.nobelprize.org/2/nobelPrize/phy/2021","'1/2'",3,"for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales","Giorgio Parisi","Giorgio Parisi","","https://api.nobelprize.org/2/laureate/1001","1001","1948-08-04","Rome","Italy",41.902288,12.506464,"male","Sapienza University of Rome","Rome","Italy",42.5,12.5,73.0,"Human",False,"","",""
"2021","Peace","2021-10-08",10000000,10836735,"https://api.nobelprize.org/2/nobelPrize/pea/2021","'1/2'",1,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace","Maria Ressa","Maria Ressa","","https://api.nobelprize.org/2/laureate/1005","1005","1963-10-02","Manila","Philippines",14.594892,120.978264,"female","","","","","",58.0,"Human",False,"","",""
"2021","Peace","2021-10-08",10000000,10836735,"https://api.nobelprize.org/2/nobelPrize/pea/2021","'1/2'",2,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace","Dmitry Andreyevich Muratov","Dmitry Muratov","","https://api.nobelprize.org/2/laureate/1006","1006","1961-01-01","Kubyshev","USSR",53.202778,50.140833,"male","","","","","",60.0,"Human",False,"","",""
"2021","Literature","2021-10-07",10000000,10836735,"https://api.nobelprize.org/2/nobelPrize/lit/2021","'1'",1,"for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents","Abdulrazak Gurnah","Abdulrazak Gurnah","","https://api.nobelprize.org/2/laureate/1004","1004","1948-01-01","","","","","male","","","","","",73.0,"Human",True,"","",""
"2021","Economic Sciences","2021-10-11",10000000,10836735,"https://api.nobelprize.org/2/nobelPrize/eco/2021","'1/2'",1,"for his empirical contributions to labour economics","David Card","David Card","","https://api.nobelprize.org/2/laureate/1007","1007","1956-01-01","Guelph","Canada",43.546051,-80.249329,"male","University of California","Berkeley, CA","USA",39.828175,-98.5795,65.0,"Human",False,"","",""
"2021","Economic Sciences","2021-10-11",10000000,10836735,"https://api.nobelprize.org/2/nobelPrize/eco/2021","'1/4'",2,"for their methodological contributions to the analysis of causal relationships","Joshua D. Angrist","Joshua D. Angrist","","https://api.nobelprize.org/2/laureate/1008","1008","1960-09-18","Columbus, OH","USA",39.962222,-83.000556,"male","Massachusetts Institute of Technology (MIT)","Cambridge, MA","USA",39.828175,-98.5795,61.0,"Human",False,"","",""
"2021","Economic Sciences","2021-10-11",10000000,10836735,"https://api.nobelprize.org/2/nobelPrize/eco/2021","'1/4'",3,"for their methodological contributions to the analysis of causal relationships","Guido W. Imbens","Guido W. Imbens","","https://api.nobelprize.org/2/laureate/1009","1009","1963-09-03","Geldrop","the Netherlands","","","male","Stanford University","Stanford, CA","USA",39.828175,-98.5795,58.0,"Human",False,"","",""
"2021","Chemistry","2021-10-06",10000000,10836735,"https://api.nobelprize.org/2/nobelPrize/che/2021","'1/2'",1,"for the development of asymmetric organocatalysis","Benjamin List","Benjamin List","","https://api.nobelprize.org/2/laureate/1002","1002","1968-01-11","Frankfurt-on-the-Main","Germany",50.107886,8.691488,"male","Max-Planck-Institut für Kohlenforschung","Mülheim an der Ruhr","Germany",51.0,10.0,53.0,"Human",False,"","",""
"2021","Chemistry","2021-10-06",10000000,10836735,"https://api.nobelprize.org/2/nobelPrize/che/2021","'1/2'",2,"for the development of asymmetric organocatalysis","David W.C. MacMillan","David W.C. MacMillan","","https://api.nobelprize.org/2/laureate/1003","1003","1968-03-16","Bellshill","United Kingdom",55.820556,-4.028333,"male","Princeton University","Princeton, NJ","USA",39.828175,-98.5795,53.0,"Human",False,"","",""
"2020","Physiology or Medicine","2020-10-05",10000000,11074035,"https://api.nobelprize.org/2/nobelPrize/med/2020","'1/3'",1,"for the discovery of Hepatitis C virus","Harvey J. Alter","Harvey J. Alter","","https://api.nobelprize.org/2/laureate/985","985","1935-09-12","New York, NY","USA",40.715758,-74.0113,"male","National Institutes of Health","Bethesda, MD","USA",39.828175,-98.5795,85.0,"Human",False,"","",""
"2020","Physiology or Medicine","2020-10-05",10000000,11074035,"https://api.nobelprize.org/2/nobelPrize/med/2020","'1/3'",2,"for the discovery of Hepatitis C virus","Michael Houghton","Michael Houghton","","https://api.nobelprize.org/2/laureate/986","986","1949-01-01","","United Kingdom","","","male","University of Alberta","Edmonton","Canada",60.0,-110.0,71.0,"Human",False,"","",""
"2020","Physiology or Medicine","2020-10-05",10000000,11074035,"https://api.nobelprize.org/2/nobelPrize/med/2020","'1/3'",3,"for the discovery of Hepatitis C virus","Charles M. Rice","Charles M. Rice","","https://api.nobelprize.org/2/laureate/987","987","1952-08-25","Sacramento, CA","USA",38.58102,-121.493935,"male","Rockefeller University","New York, NY","USA",39.828175,-98.5795,68.0,"Human",False,"","",""
"2020","Physics","2020-10-06",10000000,11074035,"https://api.nobelprize.org/2/nobelPrize/phy/2020","'1/2'",1,"for the discovery that black hole formation is a robust prediction of the general theory of relativity","Roger Penrose","Roger Penrose","","https://api.nobelprize.org/2/laureate/988","988","1931-08-08","Colchester","United Kingdom",51.888611,0.903611,"male","University of Oxford","Oxford","United Kingdom",54.6,-2.0,89.0,"Human",False,"","",""
"2020","Physics","2020-10-06",10000000,11074035,"https://api.nobelprize.org/2/nobelPrize/phy/2020","'1/4'",2,"for the discovery of a supermassive compact object at the centre of our galaxy","Reinhard Genzel","Reinhard Genzel","","https://api.nobelprize.org/2/laureate/989","989","1952-03-24","Bad Homburg vor der Höhe","Germany",50.228031,8.618313,"male","Max Planck Institute for Extraterrestrial Physics","Garching","Germany",51.0,10.0,68.0,"Human",False,"","",""
"2020","Physics","2020-10-06",10000000,11074035,"https://api.nobelprize.org/2/nobelPrize/phy/2020","'1/4'",3,"for the discovery of a supermassive compact object at the centre of our galaxy","Andrea Ghez","Andrea Ghez","","https://api.nobelprize.org/2/laureate/990","990","1965-06-16","New York, NY","USA",40.715758,-74.0113,"female","University of California","Los Angeles, CA","USA",39.828175,-98.5795,55.0,"Human",False,"","",""
"2020","Peace","2020-10-09",10000000,11074035,"https://api.nobelprize.org/2/nobelPrize/pea/2020","'1'",1,"for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict","","","World Food Programme","https://api.nobelprize.org/2/laureate/994","994","","","","","","","","","","","","","Organization",True,"World Food Programme","1961-01-01",""
"2020","Literature","2020-10-08",10000000,11074035,"https://api.nobelprize.org/2/nobelPrize/lit/2020","'1'",1,"for her unmistakable poetic voice that with austere beauty makes individual existence universal","Louise Glück","Louise Glück","","https://api.nobelprize.org/2/laureate/993","993","1943-04-22","New York, NY","USA",40.715758,-74.0113,"female","","","","","",77.0,"Human",True,"","",""
"2020","Economic Sciences","2020-10-12",10000000,11074035,"https://api.nobelprize.org/2/nobelPrize/eco/2020","'1/2'",1,"for improvements to auction theory and inventions of new auction formats","Paul R. Milgrom","Paul R. Milgrom","","https://api.nobelprize.org/2/laureate/995","995","1948-04-20","Detroit, MI","USA",42.331667,-83.0475,"male","Stanford University","Stanford, CA","USA",39.828175,-98.5795,72.0,"Human",False,"","",""
"2020","Economic Sciences","2020-10-12",10000000,11074035,"https://api.nobelprize.org/2/nobelPrize/eco/2020","'1/2'",2,"for improvements to auction theory and inventions of new auction formats","Robert B. Wilson","Robert B. Wilson","","https://api.nobelprize.org/2/laureate/996","996","1937-05-16","Geneva, NE","USA",40.526389,-97.601944,"male","Stanford University","Stanford, CA","USA",39.828175,-98.5795,83.0,"Human",False,"","",""
"2020","Chemistry","2020-10-07",10000000,11074035,"https://api.nobelprize.org/2/nobelPrize/che/2020","'1/2'",1,"for the development of a method for genome editing","Emmanuelle Charpentier","Emmanuelle Charpentier","","https://api.nobelprize.org/2/laureate/991","991","1968-12-11","Juvisy-sur-Orge","France",48.688333,2.3775,"female","Max Planck Unit for the Science of Pathogens","Berlin","Germany",51.0,10.0,51.0,"Human",False,"","",""
"2020","Chemistry","2020-10-07",10000000,11074035,"https://api.nobelprize.org/2/nobelPrize/che/2020","'1/2'",2,"for the development of a method for genome editing","Jennifer A. Doudna","Jennifer A. Doudna","","https://api.nobelprize.org/2/laureate/992","992","1964-02-19","Washington, D.C.","USA",38.899065,-77.036523,"female","University of California","Berkeley, CA","USA",39.828175,-98.5795,56.0,"Human",False,"","",""
"2019","Physiology or Medicine","2019-10-07",9000000,10013620,"https://api.nobelprize.org/2/nobelPrize/med/2019","'1/3'",1,"for their discoveries of how cells sense and adapt to oxygen availability","William G. Kaelin Jr","William G. Kaelin Jr","","https://api.nobelprize.org/2/laureate/970","970","1957-11-23","New York, NY","USA",40.715758,-74.0113,"male","Harvard Medical School","Boston, MA","USA",39.828175,-98.5795,61.0,"Human",False,"","",""
"2019","Physiology or Medicine","2019-10-07",9000000,10013620,"https://api.nobelprize.org/2/nobelPrize/med/2019","'1/3'",2,"for their discoveries of how cells sense and adapt to oxygen availability","Sir Peter J. Ratcliffe","Sir Peter J. Ratcliffe","","https://api.nobelprize.org/2/laureate/971","971","1954-05-14","Lancashire","United Kingdom",53.802814,-2.628226,"male","University of Oxford","Oxford","United Kingdom",54.6,-2.0,65.0,"Human",False,"","",""
"2019","Physiology or Medicine","2019-10-07",9000000,10013620,"https://api.nobelprize.org/2/nobelPrize/med/2019","'1/3'",3,"for their discoveries of how cells sense and adapt to oxygen availability","Gregg L. Semenza","Gregg L. Semenza","","https://api.nobelprize.org/2/laureate/972","972","1956-07-12","New York, NY","USA",40.715758,-74.0113,"male","Johns Hopkins University","Baltimore, MD","USA",39.828175,-98.5795,63.0,"Human",False,"","",""
"2019","Physics","2019-10-08",9000000,10013620,"https://api.nobelprize.org/2/nobelPrize/phy/2019","'1/2'",1,"for theoretical discoveries in physical cosmology","James Peebles","James Peebles","","https://api.nobelprize.org/2/laureate/973","973","1935-04-25","Winnipeg","Canada",49.895538,-97.138458,"male","Princeton University","Princeton, NJ","USA",39.828175,-98.5795,84.0,"Human",False,"","",""
"2019","Physics","2019-10-08",9000000,10013620,"https://api.nobelprize.org/2/nobelPrize/phy/2019","'1/4'",2,"for the discovery of an exoplanet orbiting a solar-type star","Michel Mayor","Michel Mayor","","https://api.nobelprize.org/2/laureate/974","974","1942-01-12","Lausanne","Switzerland",46.533333,6.633333,"male","University of Geneva","Geneva","Switzerland",46.798562,8.231973,77.0,"Human",False,"","",""
"2019","Physics","2019-10-08",9000000,10013620,"https://api.nobelprize.org/2/nobelPrize/phy/2019","'1/4'",3,"for the discovery of an exoplanet orbiting a solar-type star","Didier Queloz","Didier Queloz","","https://api.nobelprize.org/2/laureate/975","975","1966-02-23","Geneva","Switzerland",46.203397,6.145957,"male","University of Geneva","Geneva","Switzerland",46.798562,8.231973,53.0,"Human",False,"","",""
"2019","Peace","2019-10-11",9000000,10013620,"https://api.nobelprize.org/2/nobelPrize/pea/2019","'1'",1,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea","Abiy Ahmed Ali","Abiy Ahmed Ali","","https://api.nobelprize.org/2/laureate/981","981","1976-08-15","Beshasha","Ethiopia",7.795864,36.477062,"male","","","","","",43.0,"Human",True,"","",""
"2019","Literature","2019-10-10",9000000,10013620,"https://api.nobelprize.org/2/nobelPrize/lit/2019","'1'",1,"for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience","Peter Handke","Peter Handke","","https://api.nobelprize.org/2/laureate/980","980","1942-12-06","Griffen","Austria",46.704444,14.732778,"male","","","","","",76.0,"Human",True,"","",""
"2019","Economic Sciences","2019-10-14",9000000,10013620,"https://api.nobelprize.org/2/nobelPrize/eco/2019","'1/3'",1,"for their experimental approach to alleviating global poverty","Abhijit Banerjee","Abhijit Banerjee","","https://api.nobelprize.org/2/laureate/982","982","1961-02-21","Mumbai","India",19.075833,72.8775,"male","Massachusetts Institute of Technology (MIT)","Cambridge, MA","USA",39.828175,-98.5795,58.0,"Human",False,"","",""
"2019","Economic Sciences","2019-10-14",9000000,10013620,"https://api.nobelprize.org/2/nobelPrize/eco/2019","'1/3'",2,"for their experimental approach to alleviating global poverty","Esther Duflo","Esther Duflo","","https://api.nobelprize.org/2/laureate/983","983","1972-10-25","Paris","France",48.860093,2.355954,"female","Massachusetts Institute of Technology (MIT)","Cambridge, MA","USA",39.828175,-98.5795,47.0,"Human",False,"","",""
"2019","Economic Sciences","2019-10-14",9000000,10013620,"https://api.nobelprize.org/2/nobelPrize/eco/2019","'1/3'",3,"for their experimental approach to alleviating global poverty","Michael Kremer","Michael Kremer","","https://api.nobelprize.org/2/laureate/984","984","1964-11-12","New York, NY","USA",40.715758,-74.0113,"male","Harvard University","Cambridge, MA","USA",39.828175,-98.5795,54.0,"Human",False,"","",""
"2019","Chemistry","2019-10-09",9000000,10013620,"https://api.nobelprize.org/2/nobelPrize/che/2019","'1/3'",1,"for the development of lithium-ion batteries","John B. Goodenough","John B. Goodenough","","https://api.nobelprize.org/2/laureate/976","976","1922-07-25","Jena","Germany",50.927222,11.586389,"male","University of Texas","Austin, TX","USA",39.828175,-98.5795,97.0,"Human",False,"","",""
"2019","Chemistry","2019-10-09",9000000,10013620,"https://api.nobelprize.org/2/nobelPrize/che/2019","'1/3'",2,"for the development of lithium-ion batteries","M. Stanley Whittingham","M. Stanley Whittingham","","https://api.nobelprize.org/2/laureate/977","977","1941-12-22","","United Kingdom","","","male","Binghamton University, State University of New York","New York, NY","USA",39.828175,-98.5795,77.0,"Human",False,"","",""
"2019","Chemistry","2019-10-09",9000000,10013620,"https://api.nobelprize.org/2/nobelPrize/che/2019","'1/3'",3,"for the development of lithium-ion batteries","Akira Yoshino","Akira Yoshino","","https://api.nobelprize.org/2/laureate/978","978","1948-01-30","Suita","Japan",34.764885,135.517349,"male","Asahi Kasei Corporation","Tokyo","Japan",35.0,136.0,71.0,"Human",False,"","",""
"2018","Physiology or Medicine","2018-10-01",9000000,10195200,"https://api.nobelprize.org/2/nobelPrize/med/2018","'1/2'",1,"for their discovery of cancer therapy by inhibition of negative immune regulation","James P. Allison","James P. Allison","","https://api.nobelprize.org/2/laureate/958","958","1948-08-07","Alice, TX","USA",27.750611,-98.070306,"male","Parker Institute for Cancer Immunotherapy","San Francisco, CA","USA",39.828175,-98.5795,70.0,"Human",False,"","",""
"2018","Physiology or Medicine","2018-10-01",9000000,10195200,"https://api.nobelprize.org/2/nobelPrize/med/2018","'1/2'",2,"for their discovery of cancer therapy by inhibition of negative immune regulation","Tasuku Honjo","Tasuku Honjo","","https://api.nobelprize.org/2/laureate/959","959","1942-01-27","Kyoto","Japan",35.017709,135.761432,"male","Kyoto University","Kyoto","Japan",35.0,136.0,76.0,"Human",False,"","",""
"2018","Physics","2018-10-02",9000000,10195200,"https://api.nobelprize.org/2/nobelPrize/phy/2018","'1/2'",1,"for the optical tweezers and their application to biological systems","Arthur Ashkin","Arthur Ashkin","","https://api.nobelprize.org/2/laureate/960","960","1922-09-02","New York, NY","USA",40.715758,-74.0113,"male","Bell Laboratories","Holmdel, NJ","USA",39.828175,-98.5795,96.0,"Human",False,"","",""
"2018","Physics","2018-10-02",9000000,10195200,"https://api.nobelprize.org/2/nobelPrize/phy/2018","'1/4'",2,"for their method of generating high-intensity, ultra-short optical pulses","Gérard Mourou","Gérard Mourou","","https://api.nobelprize.org/2/laureate/961","961","1944-06-22","Albertville","France",45.675833,6.3925,"male","École Polytechnique","Palaiseau","France",47.0,2.0,74.0,"Human",False,"","",""
