"laureate_id","Category","Affiliation_Name","Award_Year","Motivation","Date_Awarded","Award_City","Award_Country","Award_Lat","Award_Lon"
"989","Physics","Max Planck Institute for Extraterrestrial Physics","2020","for the discovery of a supermassive compact object at the centre of our galaxy","2020-10-06","Garching","Germany",51.0,10.0
"990","Physics","University of California","2020","for the discovery of a supermassive compact object at the centre of our galaxy","2020-10-06","Los Angeles, CA","USA",39.828175,-98.5795
"994","Peace","","2020","for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict","2020-10-09","","","",""
"993","Literature","","2020","for her unmistakable poetic voice that with austere beauty makes individual existence universal","2020-10-08","","","",""
"995","Economic Sciences","Stanford University","2020","for improvements to auction theory and inventions of new auction formats","2020-10-12","Stanford, CA","USA",39.828175,-98.5795
"996","Economic Sciences","Stanford University","2020","for improvements to auction theory and inventions of new auction formats","2020-10-12","Stanford, CA","USA",39.828175,-98.5795
"991","Chemistry","Max Planck Unit for the Science of Pathogens","2020","for the development of a method for genome editing","2020-10-07","Berlin","Germany",51.0,10.0
"992","Chemistry","University of California","2020","for the development of a method for genome editing","2020-10-07","Berkeley, CA","USA",39.828175,-98.5795
"970","Physiology or Medicine","Harvard Medical School","2019","for their discoveries of how cells sense and adapt to oxygen availability","2019-10-07","Boston, MA","USA",39.828175,-98.5795
"971","Physiology or Medicine","University of Oxford","2019","for their discoveries of how cells sense and adapt to oxygen availability","2019-10-07","Oxford","United Kingdom",54.6,-2.0
"972","Physiology or Medicine","Johns Hopkins University","2019","for their discoveries of how cells sense and adapt to oxygen availability","2019-10-07","Baltimore, MD","USA",39.828175,-98.5795
"973","Physics","Princeton University","2019","for theoretical discoveries in physical cosmology","2019-10-08","Princeton, NJ","USA",39.828175,-98.5795
"974","Physics","University of Geneva","2019","for the discovery of an exoplanet orbiting a solar-type star","2019-10-08","Geneva","Switzerland",46.798562,8.231973
"975","Physics","University of Geneva","2019","for the discovery of an exoplanet orbiting a solar-type star","2019-10-08","Geneva","Switzerland",46.798562,8.231973
"981","Peace","","2019","for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea","2019-10-11","","","",""
"980","Literature","","2019","for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience","2019-10-10","","","",""
"982","Economic Sciences","Massachusetts Institute of Technology (MIT)","2019","for their experimental approach to alleviating global poverty","2019-10-14","Cambridge, MA","USA",39.828175,-98.5795
"983","Economic Sciences","Massachusetts Institute of Technology (MIT)","2019","for their experimental approach to alleviating global poverty","2019-10-14","Cambridge, MA","USA",39.828175,-98.5795
"984","Economic Sciences","Harvard University","2019","for their experimental approach to alleviating global poverty","2019-10-14","Cambridge, MA","USA",39.828175,-98.5795
"976","Chemistry","University of Texas","2019","for the development of lithium-ion batteries","2019-10-09","Austin, TX","USA",39.828175,-98.5795
"977","Chemistry","Binghamton University, State University of New York","2019","for the development of lithium-ion batteries","2019-10-09","New York, NY","USA",39.828175,-98.5795
"978","Chemistry","Asahi Kasei Corporation","2019","for the development of lithium-ion batteries","2019-10-09","Tokyo","Japan",35.0,136.0
"958","Physiology or Medicine","Parker Institute for Cancer Immunotherapy","2018","for their discovery of cancer therapy by inhibition of negative immune regulation","2018-10-01","San Francisco, CA","USA",39.828175,-98.5795
"959","Physiology or Medicine","Kyoto University","2018","for their discovery of cancer therapy by inhibition of negative immune regulation","2018-10-01","Kyoto","Japan",35.0,136.0
"960","Physics","Bell Laboratories","2018","for the optical tweezers and their application to biological systems","2018-10-02","Holmdel, NJ","USA",39.828175,-98.5795
"961","Physics","École Polytechnique","2018","for their method of generating high-intensity, ultra-short optical pulses","2018-10-02","Palaiseau","France",47.0,2.0
"962","Physics","University of Waterloo","2018","for their method of generating high-intensity, ultra-short optical pulses","2018-10-02","Waterloo","Canada",60.0,-110.0
"966","Peace","","2018","for their efforts to end the use of sexual violence as a weapon of war and armed conflict","2018-10-05","","","",""
"967","Peace","","2018","for their efforts to end the use of sexual violence as a weapon of war and armed conflict","2018-10-05","","","",""
"979","Literature","","2018","for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life","2019-10-10","","","",""
"968","Economic Sciences","Yale University","2018","for integrating climate change into long-run macroeconomic analysis","2018-10-01","New Haven, CT","USA",39.828175,-98.5795
"969","Economic Sciences","NYU Stern School of Business","2018","for integrating technological innovations into long-run macroeconomic analysis","2018-10-01","New York, NY","USA",39.828175,-98.5795
"963","Chemistry","California Institute of Technology (Caltech)","2018","for the directed evolution of enzymes","2018-10-03","Pasadena, CA","USA",39.828175,-98.5795
"964","Chemistry","University of Missouri","2018","for the phage display of peptides and antibodies","2018-10-03","Columbia","USA",39.828175,-98.5795
"965","Chemistry","MRC Laboratory of Molecular Biology","2018","for the phage display of peptides and antibodies","2018-10-03","Cambridge","United Kingdom",54.6,-2.0
"938","Physiology or Medicine","University of Maine","2017","for their discoveries of molecular mechanisms controlling the circadian rhythm","2017-10-02","Maine, ME","USA",39.828175,-98.5795
"939","Physiology or Medicine","Brandeis University","2017","for their discoveries of molecular mechanisms controlling the circadian rhythm","2017-10-02","Waltham, MA","USA",39.828175,-98.5795
"940","Physiology or Medicine","Rockefeller University","2017","for their discoveries of molecular mechanisms controlling the circadian rhythm","2017-10-02","New York, NY","USA",39.828175,-98.5795
"941","Physics","LIGO/VIRGO Collaboration","2017","for decisive contributions to the LIGO detector and the observation of gravitational waves","2017-10-03","","","",""
"942","Physics","LIGO/VIRGO Collaboration","2017","for decisive contributions to the LIGO detector and the observation of gravitational waves","2017-10-03","","","",""
"943","Physics","LIGO/VIRGO Collaboration","2017","for decisive contributions to the LIGO detector and the observation of gravitational waves","2017-10-03","","","",""
"948","Peace","","2017","for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons","2017-10-06","","","",""
"947","Literature","","2017","who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world","2017-10-05","","","",""
"949","Economic Sciences","University of Chicago","2017","for his contributions to behavioural economics","2017-10-09","Chicago, IL","USA",39.828175,-98.5795
"944","Chemistry","University of Lausanne","2017","for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution","2017-10-04","Lausanne","Switzerland",46.798562,8.231973
"945","Chemistry","Columbia University","2017","for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution","2017-10-04","New York, NY","USA",39.828175,-98.5795
"946","Chemistry","MRC Laboratory of Molecular Biology","2017","for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution","2017-10-04","Cambridge","United Kingdom",54.6,-2.0
"927","Physiology or Medicine","Tokyo Institute of Technology","2016","for his discoveries of mechanisms for autophagy","2016-10-03","Tokyo","Japan",35.0,136.0
"928","Physics","University of Washington","2016","for theoretical discoveries of topological phase transitions and topological phases of matter","2016-10-04","Seattle, WA","USA",39.828175,-98.5795
"929","Physics","Princeton University","2016","for theoretical discoveries of topological phase transitions and topological phases of matter","2016-10-04","Princeton, NJ","USA",39.828175,-98.5795
"930","Physics","Brown University","2016","for theoretical discoveries of topological phase transitions and topological phases of matter","2016-10-04","Providence, RI","USA",39.828175,-98.5795
"934","Peace","","2016","for his resolute efforts to bring the country's more than 50-year-long civil war to an end","2016-10-07","","","",""
"937","Literature","","2016","for having created new poetic expressions within the great American song tradition","2016-10-13","","","",""
"935","Economic Sciences","Harvard University","2016","for their contributions to contract theory","2016-10-10","Cambridge, MA","USA",39.828175,-98.5795
"936","Economic Sciences","Massachusetts Institute of Technology (MIT)","2016","for their contributions to contract theory","2016-10-10","Cambridge, MA","USA",39.828175,-98.5795
"931","Chemistry","University of Strasbourg","2016","for the design and synthesis of molecular machines","2016-10-05","Strasbourg","France",47.0,2.0
"932","Chemistry","Northwestern University","2016","for the design and synthesis of molecular machines","2016-10-05","Evanston, IL","USA",39.828175,-98.5795
"933","Chemistry","University of Groningen","2016","for the design and synthesis of molecular machines","2016-10-05","Groningen","the Netherlands",52.316667,5.55
"916","Physiology or Medicine","Drew University","2015","for their discoveries concerning a novel therapy against infections caused by roundworm parasites","2015-10-05","Madison, NJ","USA",39.828175,-98.5795
"917","Physiology or Medicine","Kitasato University","2015","for their discoveries concerning a novel therapy against infections caused by roundworm parasites","2015-10-05","Tokyo","Japan",35.0,136.0
"918","Physiology or Medicine","China Academy of Traditional Chinese Medicine","2015","for her discoveries concerning a novel therapy against Malaria","2015-10-05","Beijing","China",35.844722,103.451944
"919","Physics","University of Tokyo","2015","for the discovery of neutrino oscillations, which shows that neutrinos have mass","2015-10-06","Kashiwa","Japan",35.0,136.0
"920","Physics","Queen's University","2015","for the discovery of neutrino oscillations, which shows that neutrinos have mass","2015-10-06","Kingston","Canada",60.0,-110.0
"925","Peace","","2015","for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011","2015-10-09","","","",""
"924","Literature","","2015","for her polyphonic writings, a monument to suffering and courage in our time","2015-10-08","","","",""
"926","Economic Sciences","Princeton University","2015","for his analysis of consumption, poverty, and welfare","2015-10-12","Princeton, NJ","USA",39.828175,-98.5795
"921","Chemistry","Francis Crick Institute","2015","for mechanistic studies of DNA repair","2015-10-07","Hertfordshire","United Kingdom",54.6,-2.0
"922","Chemistry","Howard Hughes Medical Institute","2015","for mechanistic studies of DNA repair","2015-10-07","Durham, NC","USA",39.828175,-98.5795
"923","Chemistry","University of North Carolina","2015","for mechanistic studies of DNA repair","2015-10-07","Chapel Hill, NC","USA",39.828175,-98.5795
"903","Physiology or Medicine","University College","2014","for their discoveries of cells that constitute a positioning system in the brain","2014-10-06","London","United Kingdom",54.6,-2.0
"904","Physiology or Medicine","Norwegian University of Science and Technology (NTNU)","2014","for their discoveries of cells that constitute a positioning system in the brain","2014-10-06","Trondheim","Norway",65.0,11.0
"905","Physiology or Medicine","Norwegian University of Science and Technology (NTNU)","2014","for their discoveries of cells that constitute a positioning system in the brain","2014-10-06","Trondheim","Norway",65.0,11.0
"906","Physics","Meijo University","2014","for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources","2014-10-07","Nagoya","Japan",35.0,136.0
"907","Physics","Nagoya University","2014","for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources","2014-10-07","Nagoya","Japan",35.0,136.0
"908","Physics","University of California","2014","for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources","2014-10-07","Santa Barbara, CA","USA",39.828175,-98.5795
"913","Peace","","2014","for their struggle against the suppression of children and young people and for the right of all children to education","2014-10-10","","","",""
"914","Peace","","2014","for their struggle against the suppression of children and young people and for the right of all children to education","2014-10-10","","","",""
"912","Literature","","2014","for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation","2014-10-09","","","",""
"915","Economic Sciences","Toulouse School of Economics (TSE)","2014","for his analysis of market power and regulation","2014-10-13","Toulouse","France",47.0,2.0
"909","Chemistry","Janelia Research Campus, Howard Hughes Medical Institute","2014","for the development of super-resolved fluorescence microscopy","2014-10-08","Ashburn, VA","USA",39.828175,-98.5795
"910","Chemistry","Max Planck Institute for Biophysical Chemistry","2014","for the development of super-resolved fluorescence microscopy","2014-10-08","Göttingen","Germany",51.0,10.0
"911","Chemistry","Stanford University","2014","for the development of super-resolved fluorescence microscopy","2014-10-08","Stanford, CA","USA",39.828175,-98.5795
"884","Physiology or Medicine","Yale University","2013","for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells","2013-10-07","New Haven, CT","USA",39.828175,-98.5795
"885","Physiology or Medicine","University of California","2013","for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells","2013-10-07","Berkeley, CA","USA",39.828175,-98.5795
"886","Physiology or Medicine","Stanford University","2013","for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells","2013-10-07","Stanford, CA","USA",39.828175,-98.5795
"887","Physics","Université Libre de Bruxelles","2013","for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider","2013-10-08","Brussels","Belgium",50.641111,4.668056
"888","Physics","University of Edinburgh","2013","for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider","2013-10-08","Edinburgh","United Kingdom",54.6,-2.0
"893","Peace","","2013","for its extensive efforts to eliminate chemical weapons","2013-10-11","","","",""
"892","Literature","","2013","master of the contemporary short story","2013-10-10","","","",""
"894","Economic Sciences","University of Chicago","2013","for their empirical analysis of asset prices","2013-10-14","Chicago, IL","USA",39.828175,-98.5795
"895","Economic Sciences","University of Chicago","2013","for their empirical analysis of asset prices","2013-10-14","Chicago, IL","USA",39.828175,-98.5795
"896","Economic Sciences","Yale University","2013","for their empirical analysis of asset prices","2013-10-14","New Haven, CT","USA",39.828175,-98.5795
"889","Chemistry","Université de Strasbourg","2013","for the development of multiscale models for complex chemical systems","2013-10-09","Strasbourg","France",47.0,2.0
"890","Chemistry","Stanford University School of Medicine","2013","for the development of multiscale models for complex chemical systems","2013-10-09","Stanford, CA","USA",39.828175,-98.5795
"891","Chemistry","University of Southern California","2013","for the development of multiscale models for complex chemical systems","2013-10-09","Los Angeles, CA","USA",39.828175,-98.5795
"874","Physiology or Medicine","Gurdon Institute","2012","for the discovery that mature cells can be reprogrammed to become pluripotent","2012-10-08","Cambridge","United Kingdom",54.6,-2.0
"875","Physiology or Medicine","Kyoto University","2012","for the discovery that mature cells can be reprogrammed to become pluripotent","2012-10-08","Kyoto","Japan",35.0,136.0
"876","Physics","Collège de France","2012","for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems","2012-10-09","Paris","France",47.0,2.0
"877","Physics","National Institute of Standards and Technology","2012","for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems","2012-10-09","Boulder, CO","USA",39.828175,-98.5795
"881","Peace","","2012","for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe","2012-10-12","","","",""
"880","Literature","","2012","who with hallucinatory realism merges folk tales, history and the contemporary","2012-10-11","","","",""
"882","Economic Sciences","Harvard University","2012","for the theory of stable allocations and the practice of market design","2012-10-15","Cambridge, MA","USA",39.828175,-98.5795
"883","Economic Sciences","University of California","2012","for the theory of stable allocations and the practice of market design","2012-10-15","Los Angeles, CA","USA",39.828175,-98.5795
"878","Chemistry","Howard Hughes Medical Institute","2012","for studies of G-protein-coupled receptors","2012-10-10","","USA",39.828175,-98.5795
"879","Chemistry","Stanford University School of Medicine","2012","for studies of G-protein-coupled receptors","2012-10-10","Stanford, CA","USA",39.828175,-98.5795
"861","Physiology or Medicine","University of Texas Southwestern Medical Center at Dallas","2011","for their discoveries concerning the activation of innate immunity","2011-10-03","Dallas, TX","USA",39.828175,-98.5795
"862","Physiology or Medicine","University of Strasbourg","2011","for their discoveries concerning the activation of innate immunity","2011-10-03","Strasbourg","France",47.0,2.0
"863","Physiology or Medicine","Rockefeller University","2011","for his discovery of the dendritic cell and its role in adaptive immunity","2011-10-03","New York, NY","USA",39.828175,-98.5795
"864","Physics","Lawrence Berkeley National Laboratory","2011","for the discovery of the accelerating expansion of the Universe through observations of distant supernovae","2011-10-04","Berkeley, CA","USA",39.828175,-98.5795
"865","Physics","Australian National University","2011","for the discovery of the accelerating expansion of the Universe through observations of distant supernovae","2011-10-04","Weston Creek","Australia",-28.0,137.0
"866","Physics","Johns Hopkins University","2011","for the discovery of the accelerating expansion of the Universe through observations of distant supernovae","2011-10-04","Baltimore, MD","USA",39.828175,-98.5795
"869","Peace","","2011","for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work","2011-10-07","","","",""
"870","Peace","","2011","for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work","2011-10-07","","","",""
"871","Peace","","2011","for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work","2011-10-07","","","",""
"868","Literature","","2011","because, through his condensed, translucent images, he gives us fresh access to reality","2011-10-06","","","",""
"872","Economic Sciences","New York University","2011","for their empirical research on cause and effect in the macroeconomy","2011-10-10","New York, NY","USA",39.828175,-98.5795
"873","Economic Sciences","Princeton University","2011","for their empirical research on cause and effect in the macroeconomy","2011-10-10","Princeton, NJ","USA",39.828175,-98.5795
"867","Chemistry","Technion - Israel Institute of Technology","2011","for the discovery of quasicrystals","2011-10-05","Haifa","Israel",31.0,35.0
"848","Physiology or Medicine","University of Cambridge","2010","for the development of in vitro fertilization","2010-10-04","Cambridge","United Kingdom",54.6,-2.0
"849","Physics","University of Manchester","2010","for groundbreaking experiments regarding the two-dimensional material graphene","2010-10-05","Manchester","United Kingdom",54.6,-2.0
"850","Physics","University of Manchester","2010","for groundbreaking experiments regarding the two-dimensional material graphene","2010-10-05","Manchester","United Kingdom",54.6,-2.0
"855","Peace","","2010","for his long and non-violent struggle for fundamental human rights in China","2010-10-08","","","",""
"854","Literature","","2010","for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat","2010-10-07","","","",""
"856","Economic Sciences","Massachusetts Institute of Technology (MIT)","2010","for their analysis of markets with search frictions","2010-10-11","Cambridge, MA","USA",39.828175,-98.5795
"857","Economic Sciences","Northwestern University","2010","for their analysis of markets with search frictions","2010-10-11","Evanston, IL","USA",39.828175,-98.5795
"858","Economic Sciences","London School of Economics and Political Science","2010","for their analysis of markets with search frictions","2010-10-11","London","United Kingdom",54.6,-2.0
"851","Chemistry","University of Delaware","2010","for palladium-catalyzed cross couplings in organic synthesis","2010-10-06","","USA",39.828175,-98.5795
"852","Chemistry","Purdue University","2010","for palladium-catalyzed cross couplings in organic synthesis","2010-10-06","West Lafayette, IN","USA",39.828175,-98.5795
"853","Chemistry","Hokkaido University","2010","for palladium-catalyzed cross couplings in organic synthesis","2010-10-06","Sapporo","Japan",35.0,136.0
"835","Physiology or Medicine","University of California","2009","for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase","2009-10-05","San Francisco, CA","USA",39.828175,-98.5795
"836","Physiology or Medicine","Johns Hopkins University School of Medicine","2009","for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase","2009-10-05","Baltimore, MD","USA",39.828175,-98.5795
"837","Physiology or Medicine","Harvard Medical School","2009","for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase","2009-10-05","Boston, MA","USA",39.828175,-98.5795
"838","Physics","Standard Telecommunication Laboratories","2009","for groundbreaking achievements concerning the transmission of light in fibers for optical communication","2009-10-06","Harlow","United Kingdom",54.6,-2.0
"839","Physics","Bell Laboratories","2009","for the invention of an imaging semiconductor circuit - the CCD sensor","2009-10-06","Murray Hill, NJ","USA",39.828175,-98.5795
"840","Physics","Bell Laboratories","2009","for the invention of an imaging semiconductor circuit - the CCD sensor","2009-10-06","Murray Hill, NJ","USA",39.828175,-98.5795
"845","Peace","","2009","for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples","2009-10-09","","","",""
"844","Literature","","2009","who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed","2009-10-08","","","",""
"846","Economic Sciences","Indiana University","2009","for her analysis of economic governance, especially the commons","2009-10-12","Bloomington, IN","USA",39.828175,-98.5795
"847","Economic Sciences","University of California","2009","for his analysis of economic governance, especially the boundaries of the firm","2009-10-12","Berkeley, CA","USA",39.828175,-98.5795
"841","Chemistry","MRC Laboratory of Molecular Biology","2009","for studies of the structure and function of the ribosome","2009-10-07","Cambridge","United Kingdom",54.6,-2.0
"842","Chemistry","Yale University","2009","for studies of the structure and function of the ribosome","2009-10-07","New Haven, CT","USA",39.828175,-98.5795
"843","Chemistry","Weizmann Institute of Science","2009","for studies of the structure and function of the ribosome","2009-10-07","Rehovot","Israel",31.0,35.0
"823","Physiology or Medicine","German Cancer Research Center","2008","for his discovery of human papilloma viruses causing cervical cancer","2008-10-06","Heidelberg","Germany",51.0,10.0
"824","Physiology or Medicine","Regulation of Retroviral Infections Unit, Virology Department, Institut Pasteur","2008","for their discovery of human immunodeficiency virus","2008-10-06","Paris","France",47.0,2.0
"825","Physiology or Medicine","World Foundation for AIDS Research and Prevention","2008","for their discovery of human immunodeficiency virus","2008-10-06","Paris","France",47.0,2.0
"826","Physics","Enrico Fermi Institute, University of Chicago","2008","for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics","2008-10-07","Chicago, IL","USA",39.828175,-98.5795
"827","Physics","High Energy Accelerator Research Organization (KEK)","2008","for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature","2008-10-07","Tsukuba","Japan",35.0,136.0
"828","Physics","Kyoto Sangyo University","2008","for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature","2008-10-07","Kyoto","Japan",35.0,136.0
"833","Peace","","2008","for his important efforts, on several continents and over more than three decades, to resolve international conflicts","2008-10-10","","","",""
"832","Literature","","2008","author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization","2008-10-09","","","",""
"834","Economic Sciences","Princeton University","2008","for his analysis of trade patterns and location of economic activity","2008-10-13","Princeton, NJ","USA",39.828175,-98.5795
"829","Chemistry","Marine Biological Laboratory (MBL)","2008","for the discovery and development of the green fluorescent protein, GFP","2008-10-08","Woods Hole, MA","USA",39.828175,-98.5795
"830","Chemistry","Columbia University","2008","for the discovery and development of the green fluorescent protein, GFP","2008-10-08","New York, NY","USA",39.828175,-98.5795
